Major code,20-24
ACTG,483
AMAN,5
ANTH,346
ARBF,58
ARCH,320
ARH,36
ART,275
ARTO,3
ARTP,2
AST,55
ATCF,39
ATCH,303
BADM,2696
BI,491
BIC,108
CDS,250
CH,116
CHN,66
CINE,373
CLAS,17
COLT,47
CS,410
DABF,1
DANC,39
DSCI,60
EC,955
EDF,393
ENG,345
ENV,390
ENVD,2
ERTH,95
ESCI,213
ETHN,115
FHS,482
FPC,16
FREN,41
GEOG,130
GER,36
GLBL,415
GSS,1421
HIST,322
HPHY,1012
HUM,29
IARC,69
ITAL,6
J,669
JAD,1413
JDST,1
JMS,78
JPN,100
JPR,932
LA,52
LAS,16
LING,131
MACS,59
MARB,121
MATH,298
MCOM,11
MDVL,14
MJS,19
MSCI,522
MUED,72
MUP,65
MUS,208
NEUR,89
PDS,56
PDSG,135
PHIL,146
PHYS,115
PPPM,317
PS,975
PSY,1780
R&ES,12
REL,24
RL,45
SDSC,111
SOC,579
SPAN,300
TA,87
WGSS,65